




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K27ac_A549.intersect.G4.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K27ac_A549.intersect.G4.genes_uniq.txt (6328)	H3K27ac_A549.intersect.G4.genes_uniq.txt (expected)	H3K27ac_A549.intersect.G4.genes_uniq.txt (over/under)	H3K27ac_A549.intersect.G4.genes_uniq.txt (fold Enrichment)	H3K27ac_A549.intersect.G4.genes_uniq.txt (raw P-value)	H3K27ac_A549.intersect.G4.genes_uniq.txt (FDR)
negative regulation of chromosome organization (GO:2001251)	79	49	24.27	+	2.02	2.15E-04	6.15E-03
regulation of DNA repair (GO:0006282)	130	70	39.94	+	1.75	2.16E-04	6.16E-03
regulation of DNA-templated transcription in response to stress (GO:0043620)	118	65	36.26	+	1.79	2.22E-04	6.34E-03
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	197	97	60.53	+	1.60	2.30E-04	6.54E-03
regulation of generation of precursor metabolites and energy (GO:0043467)	167	85	51.31	+	1.66	2.36E-04	6.68E-03
cellular response to nutrient levels (GO:0031669)	240	113	73.74	+	1.53	2.38E-04	6.73E-03
positive regulation of ubiquitin-dependent protein catabolic process (GO:2000060)	108	61	33.18	+	1.84	2.42E-04	6.83E-03
cellular response to UV (GO:0034644)	91	54	27.96	+	1.93	2.42E-04	6.83E-03
production of molecular mediator of immune response (GO:0002440)	141	19	43.32	-	.44	2.46E-04	6.94E-03
regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)	135	72	41.48	+	1.74	2.67E-04	7.49E-03
regulation of protein kinase activity (GO:0045859)	802	314	246.42	+	1.27	2.67E-04	7.50E-03
positive regulation of cellular protein catabolic process (GO:1903364)	156	80	47.93	+	1.67	2.73E-04	7.64E-03
vesicle localization (GO:0051648)	212	102	65.14	+	1.57	2.83E-04	7.93E-03
negative regulation of cell cycle G2/M phase transition (GO:1902750)	111	62	34.11	+	1.82	2.86E-04	7.98E-03
DNA biosynthetic process (GO:0071897)	117	64	35.95	+	1.78	2.90E-04	8.08E-03
mitotic spindle assembly (GO:0090307)	46	33	14.13	+	2.33	2.90E-04	8.08E-03
regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618)	112	62	34.41	+	1.80	3.03E-04	8.43E-03
cellular response to insulin stimulus (GO:0032869)	174	87	53.46	+	1.63	3.04E-04	8.44E-03
nuclear envelope organization (GO:0006998)	84	50	25.81	+	1.94	3.16E-04	8.75E-03
glycerophospholipid metabolic process (GO:0006650)	331	146	101.70	+	1.44	3.17E-04	8.75E-03
regulation of binding (GO:0051098)	365	159	112.15	+	1.42	3.19E-04	8.81E-03
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	120	65	36.87	+	1.76	3.34E-04	9.20E-03
negative regulation of defense response (GO:0031348)	402	81	123.52	-	.66	3.39E-04	9.33E-03
sensory perception of bitter taste (GO:0050913)	41	1	12.60	-	.08	3.45E-04	9.46E-03
spindle assembly (GO:0051225)	91	53	27.96	+	1.90	3.45E-04	9.46E-03
positive regulation of protein catabolic process (GO:0045732)	237	111	72.82	+	1.52	3.48E-04	9.52E-03
energy derivation by oxidation of organic compounds (GO:0015980)	256	118	78.66	+	1.50	3.53E-04	9.63E-03
positive regulation of proteasomal protein catabolic process (GO:1901800)	115	63	35.33	+	1.78	3.53E-04	9.63E-03
membrane invagination (GO:0010324)	148	21	45.47	-	.46	3.60E-04	9.79E-03
regulation of centrosome cycle (GO:0046605)	49	34	15.06	+	2.26	3.94E-04	1.07E-02
potassium ion transmembrane transport (GO:0071805)	158	23	48.55	-	.47	3.94E-04	1.07E-02
G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger (GO:0007187)	67	5	20.59	-	.24	3.96E-04	1.07E-02
response to oxidative stress (GO:0006979)	390	167	119.83	+	1.39	3.97E-04	1.07E-02
regulation of centrosome duplication (GO:0010824)	45	32	13.83	+	2.31	4.06E-04	1.10E-02
protein alkylation (GO:0008213)	131	69	40.25	+	1.71	4.10E-04	1.10E-02
protein methylation (GO:0006479)	131	69	40.25	+	1.71	4.10E-04	1.10E-02
immunoglobulin production (GO:0002377)	138	19	42.40	-	.45	4.34E-04	1.17E-02
regulation of cytoskeleton organization (GO:0051493)	526	215	161.62	+	1.33	4.35E-04	1.17E-02
nuclear DNA replication (GO:0033260)	54	36	16.59	+	2.17	4.43E-04	1.19E-02
peptidyl-serine phosphorylation (GO:0018105)	185	90	56.84	+	1.58	4.45E-04	1.19E-02
cotranslational protein targeting to membrane (GO:0006613)	101	57	31.03	+	1.84	4.46E-04	1.19E-02
intracellular protein transmembrane transport (GO:0065002)	51	35	15.67	+	2.23	4.74E-04	1.26E-02
positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436)	91	52	27.96	+	1.86	5.00E-04	1.33E-02
regulation of membrane permeability (GO:0090559)	91	52	27.96	+	1.86	5.00E-04	1.33E-02
intrinsic apoptotic signaling pathway (GO:0097193)	150	76	46.09	+	1.65	5.04E-04	1.33E-02
regulation of response to endoplasmic reticulum stress (GO:1905897)	86	50	26.42	+	1.89	5.10E-04	1.35E-02
chemotaxis (GO:0006935)	547	120	168.07	-	.71	5.19E-04	1.37E-02
detection of biotic stimulus (GO:0009595)	38	1	11.68	-	.09	5.25E-04	1.38E-02
serotonin receptor signaling pathway (GO:0007210)	39	1	11.98	-	.08	5.29E-04	1.39E-02
muscle contraction (GO:0006936)	241	43	74.05	-	.58	5.50E-04	1.44E-02
circadian rhythm (GO:0007623)	138	71	42.40	+	1.67	5.55E-04	1.45E-02
positive regulation of proteolysis (GO:0045862)	376	161	115.53	+	1.39	5.56E-04	1.46E-02
positive regulation of immune response (GO:0050778)	747	173	229.52	-	.75	5.68E-04	1.49E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	1212	449	372.40	+	1.21	5.87E-04	1.53E-02
cellular response to extracellular stimulus (GO:0031668)	269	121	82.65	+	1.46	5.92E-04	1.54E-02
rhythmic process (GO:0048511)	269	121	82.65	+	1.46	5.92E-04	1.54E-02
vacuolar transport (GO:0007034)	155	78	47.63	+	1.64	5.97E-04	1.55E-02
killing of cells of other organism (GO:0031640)	87	9	26.73	-	.34	6.26E-04	1.62E-02
RNA phosphodiester bond hydrolysis (GO:0090501)	164	81	50.39	+	1.61	6.29E-04	1.62E-02
regulation of establishment of protein localization to mitochondrion (GO:1903747)	73	44	22.43	+	1.96	6.29E-04	1.62E-02
taxis (GO:0042330)	550	121	168.99	-	.72	6.32E-04	1.63E-02
nuclear membrane organization (GO:0071763)	73	44	22.43	+	1.96	6.29E-04	1.63E-02
positive regulation of response to DNA damage stimulus (GO:2001022)	109	59	33.49	+	1.76	6.76E-04	1.74E-02
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	85	49	26.12	+	1.88	6.79E-04	1.74E-02
regulation of system process (GO:0044057)	585	131	179.75	-	.73	6.81E-04	1.74E-02
cell cycle DNA replication (GO:0044786)	55	36	16.90	+	2.13	7.01E-04	1.79E-02
response to organonitrogen compound (GO:0010243)	1014	381	311.56	+	1.22	7.39E-04	1.89E-02
immune system process (GO:0002376)	2903	787	891.97	-	.88	7.65E-04	1.95E-02
cellular response to chemical stress (GO:0062197)	282	125	86.65	+	1.44	7.69E-04	1.96E-02
negative regulation of catabolic process (GO:0009895)	317	138	97.40	+	1.42	7.97E-04	2.03E-02
establishment or maintenance of cell polarity (GO:0007163)	197	93	60.53	+	1.54	8.05E-04	2.04E-02
visual perception (GO:0007601)	217	38	66.68	-	.57	8.07E-04	2.04E-02
leukocyte chemotaxis (GO:0030595)	143	21	43.94	-	.48	8.16E-04	2.06E-02
ER-nucleus signaling pathway (GO:0006984)	39	28	11.98	+	2.34	8.19E-04	2.07E-02
posttranscriptional gene silencing (GO:0016441)	62	39	19.05	+	2.05	8.60E-04	2.17E-02
gene silencing by RNA (GO:0031047)	89	50	27.35	+	1.83	8.74E-04	2.20E-02
positive regulation of chromatin organization (GO:1905269)	121	63	37.18	+	1.69	8.81E-04	2.21E-02
sensory perception of light stimulus (GO:0050953)	220	39	67.60	-	.58	8.93E-04	2.24E-02
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	96	53	29.50	+	1.80	9.08E-04	2.28E-02
protein transmembrane transport (GO:0071806)	58	37	17.82	+	2.08	9.15E-04	2.29E-02
myeloid leukocyte migration (GO:0097529)	124	17	38.10	-	.45	9.24E-04	2.30E-02
cell chemotaxis (GO:0060326)	203	35	62.37	-	.56	9.23E-04	2.31E-02
cell projection organization (GO:0030030)	1221	449	375.16	+	1.20	9.36E-04	2.33E-02
vesicle budding from membrane (GO:0006900)	103	56	31.65	+	1.77	9.41E-04	2.34E-02
protein localization to mitochondrion (GO:0070585)	85	48	26.12	+	1.84	9.84E-04	2.44E-02
regulation of nucleocytoplasmic transport (GO:0046822)	111	59	34.11	+	1.73	1.01E-03	2.49E-02
lysosomal transport (GO:0007041)	111	59	34.11	+	1.73	1.01E-03	2.50E-02
establishment of chromosome localization (GO:0051303)	75	44	23.04	+	1.91	1.03E-03	2.55E-02
RNA modification (GO:0009451)	172	83	52.85	+	1.57	1.04E-03	2.57E-02
autophagosome organization (GO:1905037)	70	42	21.51	+	1.95	1.06E-03	2.61E-02
vesicle targeting, to, from or within Golgi (GO:0048199)	70	42	21.51	+	1.95	1.06E-03	2.62E-02
regulation of organelle assembly (GO:1902115)	190	90	58.38	+	1.54	1.07E-03	2.62E-02
anaphase-promoting complex-dependent catabolic process (GO:0031145)	87	49	26.73	+	1.83	1.07E-03	2.63E-02
muscle system process (GO:0003012)	288	56	88.49	-	.63	1.08E-03	2.65E-02
leukocyte cell-cell adhesion (GO:0007159)	55	4	16.90	-	.24	1.09E-03	2.67E-02
cell killing (GO:0001906)	126	18	38.71	-	.46	1.10E-03	2.68E-02
mitochondrial gene expression (GO:0140053)	142	71	43.63	+	1.63	1.11E-03	2.71E-02
negative regulation of cell death (GO:0060548)	1008	376	309.72	+	1.21	1.13E-03	2.75E-02
positive regulation of apoptotic process (GO:0043065)	560	223	172.07	+	1.30	1.14E-03	2.76E-02
autophagosome assembly (GO:0000045)	66	40	20.28	+	1.97	1.16E-03	2.81E-02
potassium ion transport (GO:0006813)	167	27	51.31	-	.53	1.17E-03	2.84E-02
microtubule-based movement (GO:0007018)	354	150	108.77	+	1.38	1.19E-03	2.87E-02
establishment of cell polarity (GO:0030010)	122	63	37.49	+	1.68	1.20E-03	2.90E-02
neutrophil chemotaxis (GO:0030593)	77	8	23.66	-	.34	1.22E-03	2.94E-02
endoplasmic reticulum organization (GO:0007029)	102	55	31.34	+	1.75	1.23E-03	2.95E-02
DNA-templated transcription, initiation (GO:0006352)	195	91	59.92	+	1.52	1.22E-03	2.95E-02
gene silencing (GO:0016458)	153	75	47.01	+	1.60	1.24E-03	2.98E-02
post-transcriptional gene silencing by RNA (GO:0035194)	57	36	17.51	+	2.06	1.26E-03	3.01E-02
regulation of chromosome segregation (GO:0051983)	90	50	27.65	+	1.81	1.26E-03	3.02E-02
cellular protein complex disassembly (GO:0043624)	138	69	42.40	+	1.63	1.27E-03	3.03E-02
regulation of mRNA 3'-end processing (GO:0031440)	28	22	8.60	+	2.56	1.31E-03	3.11E-02
DNA geometric change (GO:0032392)	110	58	33.80	+	1.72	1.30E-03	3.11E-02
negative regulation of cellular catabolic process (GO:0031330)	257	114	78.97	+	1.44	1.32E-03	3.12E-02
post-translational protein modification (GO:0043687)	361	152	110.92	+	1.37	1.31E-03	3.13E-02
cellular response to oxidative stress (GO:0034599)	238	107	73.13	+	1.46	1.36E-03	3.21E-02
positive regulation of cell cycle process (GO:0090068)	228	103	70.06	+	1.47	1.37E-03	3.22E-02
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	58	36	17.82	+	2.02	1.37E-03	3.23E-02
negative regulation of telomere maintenance (GO:0032205)	36	26	11.06	+	2.35	1.37E-03	3.23E-02
cytosolic transport (GO:0016482)	148	73	45.47	+	1.61	1.36E-03	3.23E-02
positive regulation of mononuclear cell proliferation (GO:0032946)	139	21	42.71	-	.49	1.38E-03	3.25E-02
regulation of type I interferon production (GO:0032479)	133	67	40.87	+	1.64	1.39E-03	3.25E-02
positive regulation of lymphocyte proliferation (GO:0050671)	138	21	42.40	-	.50	1.38E-03	3.25E-02
peptidyl-threonine phosphorylation (GO:0018107)	74	43	22.74	+	1.89	1.38E-03	3.25E-02
carbohydrate derivative metabolic process (GO:1901135)	1008	375	309.72	+	1.21	1.41E-03	3.30E-02
tRNA processing (GO:0008033)	134	67	41.17	+	1.63	1.45E-03	3.39E-02
defense response to Gram-negative bacterium (GO:0050829)	91	11	27.96	-	.39	1.47E-03	3.43E-02
cellular response to environmental stimulus (GO:0104004)	320	137	98.32	+	1.39	1.48E-03	3.44E-02
cellular response to abiotic stimulus (GO:0071214)	320	137	98.32	+	1.39	1.48E-03	3.44E-02
base-excision repair (GO:0006284)	59	36	18.13	+	1.99	1.53E-03	3.55E-02
response to biotic stimulus (GO:0009607)	1547	401	475.33	-	.84	1.56E-03	3.61E-02
protein acylation (GO:0043543)	178	84	54.69	+	1.54	1.58E-03	3.65E-02
negative regulation of response to DNA damage stimulus (GO:2001021)	82	46	25.20	+	1.83	1.58E-03	3.66E-02
neutrophil migration (GO:1990266)	87	10	26.73	-	.37	1.61E-03	3.71E-02
endoplasmic reticulum to cytosol transport (GO:1903513)	17	16	5.22	+	3.06	1.64E-03	3.78E-02
retrograde protein transport, ER to cytosol (GO:0030970)	17	16	5.22	+	3.06	1.64E-03	3.78E-02
positive regulation of leukocyte proliferation (GO:0070665)	150	24	46.09	-	.52	1.65E-03	3.80E-02
positive regulation of cell death (GO:0010942)	638	248	196.03	+	1.27	1.66E-03	3.81E-02
chromosome localization (GO:0050000)	77	44	23.66	+	1.86	1.66E-03	3.81E-02
regulation of cation channel activity (GO:2001257)	186	32	57.15	-	.56	1.68E-03	3.84E-02
response to organic substance (GO:0010033)	3008	1027	924.24	+	1.11	1.68E-03	3.84E-02
import into cell (GO:0098657)	176	30	54.08	-	.55	1.69E-03	3.84E-02
response to amino acid starvation (GO:1990928)	83	46	25.50	+	1.80	1.71E-03	3.89E-02
multicellular organismal signaling (GO:0035637)	128	19	39.33	-	.48	1.71E-03	3.89E-02
regulation of microtubule cytoskeleton organization (GO:0070507)	147	72	45.17	+	1.59	1.71E-03	3.89E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	61	37	18.74	+	1.97	1.71E-03	3.89E-02
positive regulation of programmed cell death (GO:0043068)	575	226	176.67	+	1.28	1.73E-03	3.92E-02
cellular response to external stimulus (GO:0071496)	344	145	105.70	+	1.37	1.76E-03	3.96E-02
digestion (GO:0007586)	114	16	35.03	-	.46	1.76E-03	3.96E-02
mRNA destabilization (GO:0061157)	90	49	27.65	+	1.77	1.76E-03	3.97E-02
positive regulation of mitochondrion organization (GO:0010822)	90	49	27.65	+	1.77	1.76E-03	3.97E-02
regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	78	44	23.97	+	1.84	1.78E-03	3.99E-02
regulation of DNA biosynthetic process (GO:2000278)	110	57	33.80	+	1.69	1.77E-03	3.99E-02
regulation of protein-containing complex assembly (GO:0043254)	455	184	139.80	+	1.32	1.81E-03	4.05E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	128	91.56	+	1.40	1.83E-03	4.10E-02
postreplication repair (GO:0006301)	52	33	15.98	+	2.07	1.84E-03	4.12E-02
regulation of chromosome separation (GO:1905818)	73	42	22.43	+	1.87	1.85E-03	4.12E-02
regulation of ubiquitin-protein transferase activity (GO:0051438)	57	35	17.51	+	2.00	1.86E-03	4.16E-02
granulocyte migration (GO:0097530)	95	12	29.19	-	.41	1.87E-03	4.16E-02
regulation of protein phosphorylation (GO:0001932)	1218	443	374.24	+	1.18	1.89E-03	4.20E-02
regulation of carbohydrate catabolic process (GO:0043470)	91	49	27.96	+	1.75	1.90E-03	4.21E-02
protein exit from endoplasmic reticulum (GO:0032527)	24	20	7.37	+	2.71	1.91E-03	4.22E-02
cytokinesis (GO:0000910)	98	52	30.11	+	1.73	1.90E-03	4.22E-02
regulation of response to external stimulus (GO:0032101)	1199	304	368.40	-	.83	1.93E-03	4.27E-02
response to nitrogen compound (GO:1901698)	1101	404	338.29	+	1.19	1.94E-03	4.29E-02
plasma membrane bounded cell projection organization (GO:0120036)	1175	429	361.03	+	1.19	1.94E-03	4.29E-02
positive regulation of binding (GO:0051099)	177	83	54.38	+	1.53	1.95E-03	4.29E-02
cellular response to amino acid starvation (GO:0034198)	80	45	24.58	+	1.83	1.99E-03	4.37E-02
cellular respiration (GO:0045333)	187	87	57.46	+	1.51	2.00E-03	4.38E-02
actin-mediated cell contraction (GO:0070252)	89	11	27.35	-	.40	2.00E-03	4.39E-02
nucleoside phosphate metabolic process (GO:0006753)	436	177	133.96	+	1.32	2.01E-03	4.41E-02
negative regulation of mRNA metabolic process (GO:1903312)	93	50	28.58	+	1.75	2.03E-03	4.44E-02
G protein-coupled serotonin receptor signaling pathway (GO:0098664)	34	1	10.45	-	.10	2.04E-03	4.45E-02
protein autophosphorylation (GO:0046777)	188	87	57.76	+	1.51	2.04E-03	4.45E-02
neutrophil mediated immunity (GO:0002446)	497	198	152.71	+	1.30	2.04E-03	4.45E-02
protein localization to chromosome (GO:0034502)	69	40	21.20	+	1.89	2.05E-03	4.46E-02
regulation of carbohydrate metabolic process (GO:0006109)	218	98	66.98	+	1.46	2.09E-03	4.55E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	64	38	19.66	+	1.93	2.12E-03	4.59E-02
peptidyl-serine modification (GO:0018209)	209	95	64.22	+	1.48	2.13E-03	4.62E-02
RNA destabilization (GO:0050779)	94	50	28.88	+	1.73	2.17E-03	4.68E-02
regulation of DNA replication (GO:0006275)	108	56	33.18	+	1.69	2.16E-03	4.68E-02
phosphatidylinositol metabolic process (GO:0046488)	181	84	55.61	+	1.51	2.17E-03	4.69E-02
cellular response to oxygen levels (GO:0071453)	220	99	67.60	+	1.46	2.18E-03	4.69E-02
termination of RNA polymerase II transcription (GO:0006369)	40	27	12.29	+	2.20	2.18E-03	4.69E-02
chromatin remodeling (GO:0006338)	173	81	53.16	+	1.52	2.23E-03	4.78E-02
viral transcription (GO:0019083)	116	59	35.64	+	1.66	2.24E-03	4.80E-02
regulation of chromatin organization (GO:1902275)	211	95	64.83	+	1.47	2.25E-03	4.83E-02
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway (GO:1901030)	36	25	11.06	+	2.26	2.27E-03	4.86E-02
epidermis development (GO:0008544)	422	92	129.66	-	.71	2.28E-03	4.86E-02
fatty acid catabolic process (GO:0009062)	89	48	27.35	+	1.76	2.30E-03	4.90E-02
cytoskeleton-dependent cytokinesis (GO:0061640)	96	51	29.50	+	1.73	2.33E-03	4.97E-02
negative regulation of intrinsic apoptotic signaling pathway (GO:2001243)	96	51	29.50	+	1.73	2.33E-03	4.97E-02
establishment of protein localization to mitochondrion (GO:0072655)	77	43	23.66	+	1.82	2.35E-03	4.99E-02
